id	title	description	availability	condition	price	link	image_link	quantity_to_sell_on_facebook	brand	isv	net_price
A74091	"Mochila 16 teen titans"	"Mochila 16 teen titans"	"in stock"	new	358.96	https://acosa.com.hn/product/mochila-16-teen-titans	https://acosa.com.hn/wp-content/uploads/2024/09/061-03363T.webp	86	Disney	1.15	312.14
A74081	"Mochila c/rodos 16 teen titans"	"Mochila c/rodos 16 teen titans"	"in stock"	new	547.84	https://acosa.com.hn/product/mochila-c-rodos-16-teen-titans	https://acosa.com.hn/wp-content/uploads/2024/09/061-03370T.webp	30	Disney	1.15	476.38
A74090	"Mochila 16 teen titans"	"Mochila 16 teen titans"	"in stock"	new	358.96	https://acosa.com.hn/product/mochila-16-teen-titans-2	https://acosa.com.hn/wp-content/uploads/2024/09/061-03369T.webp	70	Disney	1.15	312.14
A74092	"Mochila c/rodos 16 teen titans"	"Mochila c/rodos 16 teen titans"	"in stock"	new	547.84	https://acosa.com.hn/product/mochila-c-rodos-16-teen-titans-2	https://acosa.com.hn/wp-content/uploads/2024/09/061-03364T.webp	36	Disney	1.15	476.38
A78090	"Lonchera capi kids surtido"	"Lonchera capi kids surtido"	"in stock"	new	379.99	https://acosa.com.hn/product/lonchera-capi-kids-surtido	https://acosa.com.hn/wp-content/uploads/2024/11/1352010.webp	178	Disney	1.15	330.43
A73784	"Mochila rayo mcqueen 12"	"Mochila rayo mcqueen 12"	"in stock"	new	207.00	https://acosa.com.hn/product/mochila-rayo-mcqueen-12	https://acosa.com.hn/wp-content/uploads/2024/12/AF-C-B16.webp	60	Disney	1.15	180
A76826	"Lapicero stitch 2 depositos pc374"	"Lapicero stitch 2 depositos pc374"	"in stock"	new	154.00	https://acosa.com.hn/product/lapicero-stitch-2-depositos-pc374	https://acosa.com.hn/wp-content/uploads/2024/12/DF-STI-PC374.webp	16	Disney	1.15	133.91
A76831	"Lapicero stitch 2 depositos pc394"	"Lapicero stitch 2 depositos pc394"	"in stock"	new	141.00	https://acosa.com.hn/product/lapicero-stitch-2-depositos-pc394	https://acosa.com.hn/wp-content/uploads/2024/12/DF-STI-PC394.webp	2	Disney	1.15	122.61
A76828	"Lapicero stitch full print pc389"	"Lapicero stitch full print pc389"	"in stock"	new	76.71	https://acosa.com.hn/product/lapicero-stitch-full-print-pc389	https://acosa.com.hn/wp-content/uploads/2024/12/DF-STI-PC389.webp	24	Disney	1.15	66.7
A76829	"Lapicero stitch  full print pc390"	"Lapicero stitch  full print pc390"	"in stock"	new	76.71	https://acosa.com.hn/product/lapicero-stitch-full-print-pc390	https://acosa.com.hn/wp-content/uploads/2024/12/DF-STI-PC390.webp	17	Disney	1.15	66.7
A76830	"Lapicero stitch full print"	"Lapicero stitch full print"	"in stock"	new	76.71	https://acosa.com.hn/product/lapicero-stitch-full-print	https://acosa.com.hn/wp-content/uploads/2024/12/DF-STI-PC391.webp	5	Disney	1.15	66.7
A78196	"Mochila c/rodos stitch 14"	"Mochila c/rodos stitch 14"	"in stock"	new	893.00	https://acosa.com.hn/product/mochila-c-rodos-stitch-14	https://acosa.com.hn/wp-content/uploads/2024/12/DF-STI-TR350.webp	13	Disney	1.15	776.52
A78197	"Mochila c/rodos bluey 14"	"Mochila c/rodos bluey 14"	"in stock"	new	874.00	https://acosa.com.hn/product/mochila-c-rodos-bluey-14	https://acosa.com.hn/wp-content/uploads/2024/12/DXR-BLU-P2374.webp	13	Disney	1.15	760
A78194	"Mochila stitch 17  full print"	"Mochila stitch 17  full print"	"in stock"	new	463.00	https://acosa.com.hn/product/mochila-stitch-17-full-print	https://acosa.com.hn/wp-content/uploads/2024/12/DF-STI-B387.webp	11	Disney	1.15	402.61
